@RELATION testDogx
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Dog,Man,Clatter,Bang,Lownoise}

@DATA
0.058711,0.318244,3.146949,0.139035,0.161715,0.402712,0.004360,0.094555,-23.460746,0.831263,-1.435956,0.730336,-0.430182,0.014522,0.575552,-0.225098,-0.074000,0.117046,0.047218,-0.031875,0.029972,0.004865,0.004468,0.007371,0.006240,0.014459,0.008071,0.024178,0.009723,0.006752,0.010663,0.005293,0.002623,0.007622,0.002648,0.184694,0.243780,0.037818,0.033432,0.235653,0.001338,0.026525,1.544866,0.616089,0.507190,0.299574,0.168557,0.172778,0.195554,0.148425,0.188353,0.129650,0.147799,0.167468,0.086609,0.002766,0.003600,0.003695,0.004377,0.006002,0.003700,0.014360,0.006044,0.002627,0.003790,0.001751,0.001398,0.003045,Dog
0.050652,0.509929,3.209549,0.164178,0.191803,0.485128,0.003533,0.102541,-20.705475,0.376517,-1.565236,0.190081,-0.477065,0.469177,0.904527,-0.364133,-0.414795,0.143379,0.103057,0.013443,0.261698,0.001826,0.001446,0.003572,0.002523,0.009872,0.022016,0.023254,0.006530,0.005152,0.003038,0.003429,0.003327,0.008659,0.005160,0.395944,0.118099,0.066907,0.052673,0.406955,0.001902,0.044462,3.399044,0.594753,0.630265,0.432907,0.240693,0.180774,0.260014,0.190734,0.162028,0.210435,0.269007,0.190089,0.095196,0.001251,0.000612,0.002345,0.001509,0.010206,0.011824,0.016793,0.002830,0.002995,0.002381,0.001807,0.002249,0.004505,Dog
0.047501,0.434387,3.174643,0.148480,0.187410,0.417111,0.004744,0.093955,-21.170356,1.056837,-1.284288,0.169437,-0.584230,0.304672,0.708457,-0.219874,-0.110912,0.024024,-0.244820,0.146420,0.163283,0.004739,0.002859,0.008847,0.008772,0.019145,0.023400,0.014915,0.004487,0.012200,0.015472,0.013177,0.003293,0.011298,0.010602,0.412202,0.214879,0.060181,0.044333,0.388204,0.003890,0.046762,3.862282,1.157609,0.698128,0.455901,0.271409,0.271019,0.454191,0.241359,0.194000,0.181131,0.163742,0.099960,0.095612,0.005136,0.001822,0.007483,0.006346,0.017784,0.022704,0.016336,0.002504,0.009472,0.017058,0.006082,0.001616,0.006005,Dog
0.050363,0.452521,3.075944,0.146674,0.174226,0.422359,0.004606,0.094304,-21.122052,0.828404,-1.609328,0.285658,-0.562370,0.208384,0.694954,-0.219473,-0.265140,0.176574,0.094839,0.086467,0.186363,0.003538,0.002026,0.008080,0.006072,0.013861,0.010416,0.025986,0.017032,0.009639,0.008264,0.007622,0.002423,0.009882,0.005772,0.412176,0.587816,0.067086,0.064691,0.400502,0.004181,0.042876,3.694481,0.915398,0.790014,0.445369,0.371171,0.328695,0.502105,0.215165,0.217382,0.163802,0.183301,0.177898,0.112938,0.004728,0.001621,0.007127,0.005468,0.012313,0.005254,0.018508,0.011138,0.009364,0.007789,0.005631,0.002129,0.003913,Dog
0.048383,0.446247,3.080519,0.135841,0.168603,0.367932,0.004921,0.089012,-20.889738,0.770223,-1.461131,0.096597,-0.577495,0.578589,0.501555,-0.330290,-0.063735,0.052251,-0.001367,0.036980,0.010711,0.007253,0.003113,0.005519,0.015359,0.009017,0.014073,0.020431,0.019472,0.016007,0.007839,0.006737,0.005001,0.011724,0.013052,0.393776,0.404306,0.058909,0.050991,0.354006,0.004782,0.041001,3.496219,1.369705,0.687525,0.503406,0.182353,0.276450,0.300262,0.220866,0.378812,0.247987,0.134541,0.164379,0.126324,0.013359,0.002863,0.003469,0.028857,0.009702,0.012985,0.014086,0.016424,0.008292,0.005628,0.003000,0.003809,0.005791,Dog
0.038022,0.201758,3.021742,0.106143,0.159470,0.167615,0.004737,0.054174,-22.936304,2.110466,-1.017979,0.334410,-0.635828,-0.271091,0.146331,-0.081000,0.110227,0.168357,-0.124564,-0.115533,0.093597,0.021346,0.007710,0.020461,0.029036,0.010973,0.009020,0.019780,0.003525,0.015578,0.015081,0.014031,0.009476,0.012773,0.010913,0.291109,0.295133,0.026772,0.033912,0.121191,0.002134,0.017559,4.003351,0.613231,0.794525,0.353620,0.335455,0.188182,0.228459,0.176827,0.267239,0.124163,0.153070,0.153267,0.112079,0.014246,0.005015,0.019681,0.027793,0.004373,0.005394,0.022125,0.004248,0.011357,0.008359,0.006282,0.004942,0.007254,Dog
0.040023,0.653656,3.244192,0.159608,0.192150,0.524453,0.005379,0.095377,-19.430578,0.859789,-1.664680,-0.143434,0.163081,0.311833,0.147148,-0.029749,0.065148,-0.007576,-0.136468,0.106010,-0.040234,0.012209,0.011737,0.006539,0.008962,0.011888,0.006260,0.011394,0.006026,0.010061,0.008181,0.016007,0.011553,0.010435,0.007250,0.365440,0.119375,0.068904,0.052487,0.379161,0.004084,0.048519,2.192255,1.440989,0.497994,0.403811,0.418179,0.403211,0.349802,0.228483,0.298728,0.196247,0.298981,0.218498,0.329184,0.017866,0.016227,0.006257,0.010797,0.014550,0.005425,0.008020,0.005067,0.011622,0.005467,0.016576,0.015846,0.005562,Dog
0.035175,0.435398,3.166375,0.151283,0.204516,0.390877,0.004856,0.076112,-20.604922,1.678045,-1.335343,-0.151851,-0.205919,0.041889,0.050718,-0.286855,-0.189838,0.152531,0.035582,-0.017556,-0.087372,0.014645,0.004645,0.009022,0.010666,0.014597,0.012775,0.013936,0.006931,0.025636,0.010486,0.012688,0.010711,0.010315,0.008593,0.141552,0.166545,0.038289,0.027372,0.204416,0.002533,0.025764,1.484938,0.723467,0.329299,0.210687,0.217920,0.226842,0.319933,0.163132,0.209898,0.162278,0.119581,0.183762,0.173792,0.008774,0.003139,0.005023,0.009630,0.013959,0.011684,0.010670,0.006416,0.014192,0.005943,0.007005,0.005323,0.004738,Dog
0.032707,0.371192,3.179599,0.124692,0.184965,0.258792,0.006363,0.058946,-20.798991,1.998139,-1.121959,0.158855,-0.095031,-0.232118,-0.050505,-0.014260,-0.145315,0.045801,0.190968,-0.010480,-0.160856,0.021637,0.004781,0.009708,0.022368,0.011263,0.010735,0.011780,0.005407,0.016211,0.021550,0.018932,0.006634,0.013360,0.007210,0.305212,0.115244,0.039968,0.033782,0.223264,0.003013,0.026612,2.840372,0.768214,0.477443,0.319207,0.175878,0.188391,0.175953,0.164526,0.159320,0.152668,0.154003,0.115232,0.155267,0.018073,0.003459,0.005984,0.014638,0.006697,0.006199,0.008616,0.004338,0.012857,0.015313,0.014411,0.005333,0.005982,Dog
0.047187,0.500911,3.193333,0.149278,0.176680,0.413580,0.004315,0.091122,-20.811789,0.463849,-1.558038,0.005403,-0.842643,0.320370,0.758858,-0.442203,-0.392627,0.050077,-0.055003,0.270207,0.067441,0.002016,0.001777,0.005170,0.010779,0.013628,0.012911,0.029808,0.017713,0.010150,0.005718,0.010142,0.001793,0.012347,0.011979,0.396966,0.227932,0.063737,0.061079,0.363680,0.002769,0.035530,3.699131,0.749252,0.762375,0.378277,0.361872,0.219793,0.314707,0.199641,0.137080,0.180614,0.173034,0.196889,0.138806,0.001434,0.001133,0.007279,0.021176,0.015257,0.005442,0.024614,0.013908,0.006262,0.003073,0.005203,0.001641,0.005824,Dog
0.056261,0.478176,3.071263,0.159340,0.185545,0.420561,0.004673,0.099617,-21.055142,0.033823,-1.670932,0.749043,-0.758397,-0.335244,0.643026,-0.145801,-0.194754,0.027739,-0.086774,0.008498,0.378572,0.001450,0.001927,0.002038,0.004524,0.011481,0.010360,0.010306,0.015704,0.015058,0.003930,0.002604,0.003239,0.008164,0.007894,0.360123,0.274066,0.062577,0.044485,0.380751,0.003059,0.050107,3.082585,0.643887,0.714836,0.404208,0.125562,0.309405,0.485225,0.138002,0.176612,0.129605,0.180589,0.164810,0.178735,0.001519,0.001397,0.001637,0.003906,0.014655,0.015394,0.007158,0.011887,0.010912,0.004633,0.002294,0.003786,0.003895,Dog
0.033258,0.204436,3.127152,0.107021,0.159331,0.180559,0.008395,0.049970,-22.927327,2.310321,-1.178903,0.493971,-0.039976,-0.280373,-0.225616,-0.272969,-0.179021,0.090653,0.233293,-0.044023,-0.264987,0.019259,0.004126,0.015927,0.018593,0.014725,0.012129,0.017345,0.004517,0.017996,0.036298,0.012010,0.006363,0.016657,0.011959,0.230828,0.168692,0.037834,0.037102,0.203761,0.004771,0.025788,2.639348,0.990180,0.670748,0.359033,0.246813,0.258394,0.267461,0.162743,0.186570,0.197120,0.145223,0.168141,0.162355,0.019479,0.003560,0.016140,0.015798,0.010659,0.008279,0.013977,0.006335,0.014451,0.042483,0.011646,0.007452,0.009737,Dog
0.056670,0.579038,3.234397,0.190820,0.214977,0.575342,0.003692,0.117786,-20.217877,-0.176984,-1.585625,0.292496,-0.740221,0.181080,0.785461,-0.267968,-0.234029,0.063830,-0.137328,0.256196,0.228337,0.001681,0.001926,0.007103,0.002097,0.007495,0.007965,0.016825,0.007009,0.008868,0.007049,0.004582,0.001828,0.006439,0.008148,0.387188,0.108767,0.058495,0.039211,0.408817,0.002189,0.056164,2.853481,0.557771,0.614797,0.342001,0.182063,0.206202,0.325022,0.185420,0.231653,0.139039,0.126339,0.201240,0.107338,0.001017,0.001559,0.013587,0.001534,0.003518,0.003662,0.011476,0.005894,0.011987,0.004986,0.003753,0.001132,0.003983,Dog
0.063924,0.535919,3.179065,0.188663,0.206475,0.590486,0.003380,0.124420,-20.756468,-0.211377,-1.256798,0.586901,-0.890979,0.319499,0.583231,-0.448245,-0.227376,-0.045669,-0.248626,0.231093,0.038493,0.002079,0.001683,0.005252,0.002564,0.003673,0.008058,0.005314,0.006507,0.010452,0.007058,0.018925,0.002070,0.006512,0.008755,0.401581,0.176464,0.067003,0.049086,0.453075,0.002168,0.060817,3.234532,0.511569,0.329703,0.449661,0.142106,0.149139,0.165351,0.191668,0.120327,0.110539,0.110694,0.099435,0.098514,0.001803,0.001515,0.009831,0.002509,0.003401,0.006237,0.002938,0.002984,0.004780,0.004225,0.010842,0.001453,0.002002,Dog
0.054970,0.345354,3.144543,0.164253,0.202746,0.436196,0.004198,0.089837,-22.767571,0.791843,-1.070377,0.162320,-0.607588,0.572878,0.371780,-0.408069,-0.118011,-0.150736,-0.060874,0.427298,-0.108361,0.004273,0.003468,0.010308,0.007412,0.016500,0.014145,0.030288,0.011123,0.005603,0.018642,0.009528,0.003666,0.012526,0.010195,0.394416,0.154230,0.049624,0.032689,0.383042,0.002568,0.050525,4.098881,1.303151,0.645019,0.254489,0.415240,0.376546,0.297193,0.234964,0.168372,0.164375,0.169519,0.177299,0.140838,0.003253,0.003096,0.014597,0.008412,0.021275,0.012725,0.033309,0.010169,0.005678,0.012718,0.006360,0.002980,0.007984,Dog
0.049682,0.316798,3.158432,0.112919,0.152391,0.241795,0.006928,0.076452,-21.360781,1.155555,-1.515634,0.209020,-1.157746,-0.009686,0.286324,-0.169674,0.268637,-0.060969,-0.181748,0.073486,-0.154146,0.009742,0.008054,0.017555,0.021836,0.016114,0.008593,0.015309,0.005359,0.010844,0.004662,0.011422,0.004952,0.008990,0.012957,0.325461,0.160901,0.037755,0.032932,0.264935,0.007047,0.026130,3.344186,0.994941,0.731244,0.340852,0.381158,0.314563,0.365563,0.116201,0.300726,0.222131,0.138499,0.166488,0.110750,0.005768,0.004164,0.009342,0.013033,0.026840,0.009044,0.010255,0.003702,0.006625,0.002208,0.006941,0.002750,0.005955,Dog
0.049211,0.485801,3.183112,0.136115,0.167376,0.456803,0.003227,0.092699,-19.847319,0.679348,-2.016696,-0.179830,-0.187046,0.257692,0.220218,-0.124571,-0.047119,0.048944,0.008895,0.068323,-0.056397,0.005839,0.004933,0.008071,0.005435,0.016148,0.008828,0.009976,0.007012,0.014054,0.024999,0.005799,0.008108,0.009327,0.007836,0.326293,0.191095,0.043853,0.037453,0.299871,0.001561,0.040049,3.309819,0.340303,0.582495,0.156378,0.323815,0.149704,0.153626,0.171514,0.104770,0.121422,0.148478,0.138764,0.137649,0.003726,0.002868,0.004362,0.003150,0.011994,0.005544,0.005111,0.005627,0.008634,0.025930,0.003019,0.004492,0.005324,Dog
0.044767,0.436466,3.173310,0.144647,0.188143,0.343732,0.004873,0.079008,-20.047979,0.889787,-1.381767,0.749209,0.176231,-0.192221,-0.138728,0.012051,0.074282,-0.188579,0.069171,-0.037847,-0.123771,0.012473,0.012193,0.030288,0.009442,0.012598,0.007379,0.010280,0.002901,0.004394,0.010229,0.009164,0.004833,0.011546,0.010089,0.321236,0.162236,0.050908,0.041284,0.307036,0.002241,0.037091,2.450194,1.212778,0.344008,0.415299,0.441429,0.242718,0.139030,0.282669,0.288416,0.254887,0.183807,0.176817,0.193228,0.008702,0.016890,0.031315,0.007729,0.009834,0.005101,0.011202,0.002548,0.004785,0.010348,0.006440,0.005506,0.007392,Dog
0.102938,0.125304,3.091890,0.166991,0.166930,1.063620,0.003207,0.174115,-25.270173,1.174751,-1.185398,0.454914,-0.179626,-0.044075,0.181820,-0.110331,-0.012356,-0.175009,-0.090530,-0.146681,-0.135734,0.018077,0.003880,0.012567,0.022031,0.007263,0.006558,0.007000,0.003981,0.007338,0.007864,0.007838,0.005109,0.009151,0.032541,0.187524,0.165190,0.025987,0.028355,0.401456,0.000833,0.069101,1.678753,0.574834,0.183098,0.368999,0.189257,0.232607,0.131427,0.130911,0.180063,0.160252,0.203698,0.187412,0.175959,0.010346,0.002146,0.007171,0.016701,0.003221,0.006894,0.005846,0.003893,0.004877,0.004923,0.007048,0.002879,0.003753,Dog
0.068633,0.184675,3.190317,0.133655,0.156538,0.514078,0.004395,0.133711,-24.944838,0.639137,-1.672090,0.894748,-0.100868,-0.044284,0.219770,-0.160678,-0.035632,-0.059571,-0.125924,-0.130734,-0.020839,0.025898,0.006033,0.007542,0.011075,0.006074,0.008053,0.008518,0.006998,0.005681,0.007563,0.006625,0.003583,0.008326,0.005502,0.181239,0.152231,0.031119,0.035057,0.155431,0.001865,0.028342,1.663326,0.560502,0.274899,0.367355,0.215629,0.220090,0.148478,0.199790,0.121924,0.130442,0.120169,0.136311,0.133247,0.007405,0.004703,0.005092,0.004258,0.004561,0.004657,0.009098,0.003894,0.002235,0.004897,0.005885,0.002994,0.003125,Dog
0.065858,0.096866,3.199481,0.110521,0.124372,0.372735,0.004368,0.084415,-25.709704,0.761588,-1.521665,0.752432,-0.338245,0.195483,0.010589,-0.282536,0.120454,-0.143682,-0.088076,0.004192,-0.091203,0.032411,0.007930,0.012843,0.010038,0.006138,0.004051,0.007096,0.004192,0.008932,0.007136,0.011672,0.009417,0.012292,0.010417,0.154639,0.160324,0.016300,0.020270,0.136457,0.001952,0.019181,1.628198,0.456889,0.255020,0.261617,0.172011,0.254363,0.131118,0.179891,0.144027,0.137054,0.131736,0.146630,0.130191,0.005317,0.005682,0.009353,0.007833,0.003409,0.002230,0.003243,0.003303,0.003190,0.003328,0.009157,0.015849,0.004367,Dog
